time,pm1,pm2,pm10
00:54:41,9,4,7
00:54:42,18,9,17
00:54:43,18,12,2
00:54:44,3,16,1
00:54:45,8,14,19
00:54:46,18,13,19
00:54:47,0,5,0
00:54:48,12,20,10
00:54:49,15,14,6
00:54:50,6,18,11
00:54:51,19,10,17
00:54:52,14,7,18
00:54:53,16,20,7
00:54:54,5,19,4
00:54:55,2,0,11
00:54:56,4,13,20
00:54:57,18,1,14
00:54:58,6,15,3
00:54:59,9,19,13
02:55:02,19,18,8
02:55:03,12,20,15
02:55:04,15,1,11
02:55:05,12,12,3
02:55:06,20,3,19
02:55:07,14,4,16
02:55:08,3,2,7
02:55:09,17,4,12
02:55:10,11,8,13
02:55:11,0,4,19
02:55:12,0,4,6
04:55:15,4,0,13
04:55:16,8,10,16
04:55:17,13,1,6
04:55:18,17,1,1
04:55:19,2,10,16
04:55:20,11,14,10
04:55:21,9,11,11
04:55:22,2,9,18
04:55:23,5,13,4
04:55:24,9,10,19
04:55:25,10,4,6
04:55:26,20,4,13
04:55:27,13,17,16
04:55:28,0,9,11
06:55:32,3,11,8
06:55:33,10,13,2
06:55:34,15,3,9
06:55:35,8,1,12
06:55:36,4,10,8
06:55:37,5,5,1
06:55:38,14,12,2
06:55:39,19,2,15
06:55:40,14,4,3
06:55:41,19,9,7
06:55:42,16,18,9
08:45:09,2,0,0
08:45:10,12,2,3
08:45:11,11,12,7
08:45:12,12,4,11
08:45:13,12,9,3
08:45:14,19,18,8
09:55:22,2,19,4
09:55:23,11,19,9
09:55:24,19,8,12
09:55:25,18,17,19
09:55:26,15,11,16
09:55:27,14,9,6
09:55:28,2,0,1
09:55:29,8,18,13
09:55:30,5,20,17
09:55:31,8,16,8
09:55:32,15,19,8
09:55:33,15,6,20
09:55:34,14,16,20
09:55:35,5,16,18
09:55:36,12,9,19
09:55:37,15,5,19
09:55:38,0,18,11
09:55:39,14,18,2
09:55:40,5,18,5
09:55:41,20,19,5
09:55:42,0,7,20
09:55:43,1,9,19
09:55:45,6,0,1
09:55:46,8,18,12
09:55:47,6,13,8
09:55:48,12,9,16
09:55:49,14,15,8
09:55:50,6,17,11
09:55:51,3,10,17
09:55:52,1,3,20
10:44:57,8,7,13
10:44:58,3,20,10
10:44:59,12,17,14
10:45:00,4,18,18
10:45:01,7,2,11
10:45:02,5,1,5
10:45:03,12,9,1
11:00:04,19,16,2
11:00:05,17,0,19
11:00:06,14,8,11
11:00:07,3,12,20
11:00:08,14,17,8
11:00:09,16,12,1
11:00:10,9,9,15
11:00:11,10,4,2
11:00:12,17,8,7
11:00:13,14,9,0
11:00:14,0,16,17
