time,pm1,pm2,pm10
12:18:42,10,10,14
12:18:43,10,17,3
12:18:44,0,0,2
12:18:45,1,5,4
12:18:46,1,15,11
12:18:47,14,13,13
12:18:48,14,8,13
12:18:49,17,20,10
12:18:50,18,12,15
12:18:51,17,8,19
12:18:52,14,0,4
12:18:53,14,18,13
12:18:54,10,1,5
12:18:55,5,0,9
12:18:56,6,2,16
12:18:57,2,4,2
12:18:58,6,5,7
12:18:59,3,6,6
12:19:00,18,20,7
12:19:01,13,20,17
12:19:02,12,9,3
12:19:03,5,7,20
12:19:04,15,14,0
12:19:05,17,15,19
12:19:06,9,8,3
12:19:07,19,5,4
12:19:08,12,15,12
12:19:09,12,19,0
12:19:10,17,11,0
12:19:11,5,0,6
12:19:12,17,16,11
12:19:13,14,4,8
12:19:14,12,2,10
12:19:15,0,17,9
12:19:16,7,2,6
12:19:17,4,19,10
12:19:18,18,12,2
12:19:19,0,5,15
12:19:20,5,19,9
12:19:21,17,17,20
12:19:22,4,19,5
12:19:23,20,16,18
12:19:24,5,16,14
12:19:25,12,18,6
12:19:26,15,1,20
12:19:27,1,19,5
12:19:28,10,7,18
12:19:29,5,3,1
12:19:30,2,3,0
12:19:31,2,8,17
12:19:32,5,11,10
12:19:33,1,12,4
12:19:34,2,10,17
12:19:35,13,9,9
12:19:36,14,20,13
12:19:37,12,1,2
12:19:38,13,4,20
12:19:39,4,9,15
12:19:40,14,10,20
12:19:41,11,10,7
12:19:42,20,20,15
12:19:43,9,15,6
12:19:44,10,5,19
12:19:45,7,9,8
12:19:46,12,5,18
12:19:47,10,4,11
12:19:48,8,2,11
12:19:49,2,12,6
12:19:50,1,17,20
12:19:51,8,18,16
12:19:52,7,15,4
12:19:53,11,17,13
12:19:54,11,14,6
12:19:55,2,18,10
12:19:56,3,0,4
12:19:57,3,0,3
12:19:58,3,3,0
12:19:59,8,18,7
12:20:00,3,13,15
12:20:01,13,10,5
12:20:02,20,12,14
12:20:03,9,3,13
12:20:04,1,17,16
12:20:05,13,0,10
12:20:06,7,7,7
12:20:07,15,11,1
12:20:08,12,10,11
12:20:10,4,12,0
12:20:11,4,14,4
12:20:12,14,6,10
12:20:13,1,4,16
12:20:14,14,0,12
12:20:15,9,16,15
12:20:16,2,6,20
12:20:17,4,15,19
12:20:18,8,3,20
12:20:19,9,5,7
12:20:20,11,19,12
12:20:21,10,6,16
12:20:22,7,19,20
12:20:23,16,20,15
12:20:24,20,7,11
12:20:25,16,18,3
12:20:26,0,10,8
12:20:27,7,17,0
12:20:28,13,8,4
12:20:29,15,17,16
12:20:30,20,20,6
12:20:31,6,14,9
12:20:32,8,11,7
12:20:33,8,14,16
12:20:34,20,15,4
12:20:35,12,7,19
12:20:36,1,20,0
12:20:37,10,7,15
12:20:38,20,3,13
12:20:39,5,18,14
12:20:40,20,12,1
12:20:41,15,5,19
12:20:42,20,12,15
12:20:43,15,8,5
12:20:44,6,5,6
12:20:45,13,16,19
12:20:46,4,16,8
12:20:47,0,5,19
12:20:48,0,16,16
12:20:49,17,3,17
12:20:50,18,0,8
12:20:51,4,7,10
12:20:52,2,14,3
12:20:53,11,10,11
12:20:54,3,15,2
12:20:55,5,2,18
12:20:56,3,10,10
12:20:57,7,11,14
12:20:58,4,5,12
12:20:59,19,16,17
12:21:00,12,2,1
12:21:01,20,19,13
12:21:02,8,15,5
12:21:03,12,19,5
12:21:04,18,9,9
12:21:05,15,4,11
12:21:06,9,11,11
12:21:07,6,8,3
12:21:08,13,8,2
12:21:09,9,2,9
12:21:10,14,17,10
12:21:11,7,15,17
12:21:12,12,8,20
12:21:13,18,13,0
12:21:14,7,10,2
12:21:15,13,4,18
